team,pretourney_odds,season,implied_probability
Oregon State,200000,2022,0.0004997501249375312
South Florida,200000,2022,0.0004997501249375312
Loyola Chicago,200000,2022,0.0004997501249375312
Louisville,200000,2022,0.0004997501249375312
South Dakota State,200000,2022,0.0004997501249375312
Georgetown,200000,2022,0.0004997501249375312
Massachusetts,200000,2022,0.0004997501249375312
Rhode Island,200000,2022,0.0004997501249375312
Fresno State,200000,2022,0.0004997501249375312
California,200000,2022,0.0004997501249375312
East Carolina,200000,2022,0.0004997501249375312
Montana State,200000,2022,0.0004997501249375312
Norfolk State,200000,2022,0.0004997501249375312
Penn,200000,2022,0.0004997501249375312
Ohio,200000,2022,0.0004997501249375312
Cleveland State,200000,2022,0.0004997501249375312
Drexel,200000,2022,0.0004997501249375312
Eastern Washington,200000,2022,0.0004997501249375312
Harvard,200000,2022,0.0004997501249375312
Howard,200000,2022,0.0004997501249375312
Morehead State,200000,2022,0.0004997501249375312
Air Force,200000,2022,0.0004997501249375312
San Jose State,200000,2022,0.0004997501249375312
Murray State,15000,2022,0.006622516556291391
Belmont,15000,2022,0.006622516556291391
New Mexico State,15000,2022,0.006622516556291391
Bryant,15000,2022,0.006622516556291391
Winthrop,15000,2022,0.006622516556291391
Tulsa,15000,2022,0.006622516556291391
Northern Iowa,15000,2022,0.006622516556291391
Longwood,15000,2022,0.006622516556291391
Texas Southern,15000,2022,0.006622516556291391
Wright State,15000,2022,0.006622516556291391
Chattanooga,15000,2022,0.006622516556291391
Eastern Michigan,15000,2022,0.006622516556291391
Abilene Christian,15000,2022,0.006622516556291391
Delaware,15000,2022,0.006622516556291391
Appalachian State,15000,2022,0.006622516556291391
Cal St Fullerton,15000,2022,0.006622516556291391
East Tennessee State,15000,2022,0.006622516556291391
Georgia State,15000,2022,0.006622516556291391
Jacksonville State,15000,2022,0.006622516556291391
St Peter's,15000,2022,0.006622516556291391
