team,pretourney_odds,season,odds_int,implied_probability
Kentucky,4000,2001,4000,0.024390243902439025
Gonzaga,4000,2001,4000,0.024390243902439025
Marquette,4000,2001,4000,0.024390243902439025
Ohio State,4000,2001,4000,0.024390243902439025
Stanford,5000,2001,5000,0.0196078431372549
USC,5000,2001,5000,0.0196078431372549
Illinois,6000,2001,6000,0.01639344262295082
Wake Forest,6000,2001,6000,0.01639344262295082
Tulsa,6000,2001,6000,0.01639344262295082
UCLA,8000,2001,8000,0.012345679012345678
Xavier,8000,2001,8000,0.012345679012345678
Mississippi State,8000,2001,8000,0.012345679012345678
NC State,8000,2001,8000,0.012345679012345678
Texas Tech,8000,2001,8000,0.012345679012345678
Utah,10000,2001,10000,0.009900990099009901
Hawaii,10000,2001,10000,0.009900990099009901
Pepperdine,10000,2001,10000,0.009900990099009901
Miami (FL),12500,2001,12500,0.007936507936507936
Missouri,15000,2001,15000,0.006622516556291391
Michigan State,15000,2001,15000,0.006622516556291391
Texas,15000,2001,15000,0.006622516556291391
Charlotte,15000,2001,15000,0.006622516556291391
Georgia,15000,2001,15000,0.006622516556291391
Notre Dame,15000,2001,15000,0.006622516556291391
Wyoming,20000,2001,20000,0.004975124378109453
Boston College,25000,2001,25000,0.00398406374501992
Ole Miss,25000,2001,25000,0.00398406374501992
Pennsylvania,25000,2001,25000,0.00398406374501992
Western Kentucky,25000,2001,25000,0.00398406374501992
Creighton,50000,2001,50000,0.001996007984031936
Southern Illinois,50000,2001,50000,0.001996007984031936
St John's,50000,2001,50000,0.001996007984031936
Valparaiso,50000,2001,50000,0.001996007984031936
Wisconsin,50000,2001,50000,0.001996007984031936
Illinois-Chicago,100000,2001,100000,0.000999000999000999
San Diego State,100000,2001,100000,0.000999000999000999
UC Santa Barbara,100000,2001,100000,0.000999000999000999
Davidson,250000,2001,250000,0.00039984006397441024
Hampton,250000,2001,250000,0.00039984006397441024
McNeese State,250000,2001,250000,0.00039984006397441024
NC Wilmington,250000,2001,250000,0.00039984006397441024
Murray State,400000,2001,400000,0.00024993751562109475
Boston University,500000,2001,500000,0.0001999600079984003
Central Connecticut,500000,2001,500000,0.0001999600079984003
Florida Atlantic,500000,2001,500000,0.0001999600079984003
Holy Cross,500000,2001,500000,0.0001999600079984003
Montana,500000,2001,500000,0.0001999600079984003
Siena,500000,2001,500000,0.0001999600079984003
Winthrop,500000,2001,500000,0.0001999600079984003
Iowa,0,2001,0,1.0
Virginia,0,2001,0,1.0
St Joseph's,0,2001,0,1.0
Georgetown,0,2001,0,1.0
Memphis,0,2001,0,1.0
North Carolina,0,2001,0,1.0
Temple,0,2001,0,1.0
Syracuse,0,2001,0,1.0
Fresno State,0,2001,0,1.0
Tennessee,0,2001,0,1.0
UNLV,0,2001,0,1.0
Syracuse,1800,2002,1800,0.05263157894736842
Texas,800,2002,800,0.1111111111111111
Kansas,700,2002,700,0.125
Marquette,2200,2002,2200,0.043478260869565216
Kentucky,250,2002,250,0.2857142857142857
Arizona,300,2002,300,0.25
Oklahoma,600,2002,600,0.14285714285714285
Pittsburgh,1000,2002,1000,0.09090909090909091
Duke,1500,2002,1500,0.0625
Maryland,1800,2002,1800,0.05263157894736842
Connecticut,2000,2002,2000,0.047619047619047616
Notre Dame,2500,2002,2500,0.038461538461538464
Michigan State,3000,2002,3000,0.03225806451612903
Wisconsin,3500,2002,3500,0.027777777777777776
Auburn,15000,2002,15000,0.006622516556291391
Butler,25000,2002,25000,0.00398406374501992
Florida,1200,2002,1200,0.07692307692307693
Wake Forest,1500,2002,1500,0.0625
Illinois,1800,2002,1800,0.05263157894736842
Mississippi State,2000,2002,2000,0.047619047619047616
Xavier,2500,2002,2500,0.038461538461538464
Oregon,4000,2002,4000,0.024390243902439025
Stanford,4000,2002,4000,0.024390243902439025
Memphis,4000,2002,4000,0.024390243902439025
LSU,4500,2002,4500,0.021739130434782608
Missouri,5000,2002,5000,0.0196078431372549
Oklahoma State,5000,2002,5000,0.0196078431372549
Creighton,5000,2002,5000,0.0196078431372549
St Joseph's,5000,2002,5000,0.0196078431372549
Dayton,6000,2002,6000,0.01639344262295082
Cincinnati,7500,2002,7500,0.013157894736842105
Gonzaga,8000,2002,8000,0.012345679012345678
California,8000,2002,8000,0.012345679012345678
NC State,8000,2002,8000,0.012345679012345678
Alabama,10000,2002,10000,0.009900990099009901
Indiana,10000,2002,10000,0.009900990099009901
Arizona State,10000,2002,10000,0.009900990099009901
BYU,10000,2002,10000,0.009900990099009901
Purdue,10000,2002,10000,0.009900990099009901
Tulsa,10000,2002,10000,0.009900990099009901
Pennsylvania,15000,2002,15000,0.006622516556291391
Central Michigan,15000,2002,15000,0.006622516556291391
Colorado,15000,2002,15000,0.006622516556291391
Milwaukee,15000,2002,15000,0.006622516556291391
Utah,17500,2002,17500,0.005681818181818182
Southern Illinois,20000,2002,20000,0.004975124378109453
Colorado State,25000,2002,25000,0.00398406374501992
Holy Cross,25000,2002,25000,0.00398406374501992
Weber State,25000,2002,25000,0.00398406374501992
Western Kentucky,30000,2002,30000,0.0033222591362126247
Manhattan,30000,2002,30000,0.0033222591362126247
NC Wilmington,30000,2002,30000,0.0033222591362126247
San Diego,30000,2002,30000,0.0033222591362126247
Austin Peay,40000,2002,40000,0.0024937655860349127
Troy State,50000,2002,50000,0.001996007984031936
Utah State,50000,2002,50000,0.001996007984031936
East Tennessee State,75000,2002,75000,0.0013315579227696406
Sam Houston,100000,2002,100000,0.000999000999000999
Wagner,100000,2002,100000,0.000999000999000999
IUPUI,300000,2002,300000,0.0003332222592469177
South Carolina State,300000,2002,300000,0.0003332222592469177
Texas Southern,300000,2002,300000,0.0003332222592469177
UNC Ashville,300000,2002,300000,0.0003332222592469177
Vermont,300000,2002,300000,0.0003332222592469177
UCLA,0,2002,0,1.0
Georgia,0,2002,0,1.0
Villanova,0,2002,0,1.0
Virginia,0,2002,0,1.0
Georgia Tech,0,2002,0,1.0
Louisville,0,2002,0,1.0
Texas Tech,0,2002,0,1.0
Boston College,0,2002,0,1.0
Georgetown,0,2002,0,1.0
Minnesota,0,2002,0,1.0
USC,0,2002,0,1.0
Iowa State,0,2002,0,1.0
Ohio State,0,2002,0,1.0
Ole Miss,0,2002,0,1.0
Pepperdine,0,2002,0,1.0
Temple,0,2002,0,1.0
Connecticut,450,2003,450,0.18181818181818182
Duke,400,2003,400,0.2
Oklahoma State,700,2003,700,0.125
Georgia Tech,1000,2003,1000,0.09090909090909091
Kentucky,350,2003,350,0.2222222222222222
Stanford,400,2003,400,0.2
Gonzaga,700,2003,700,0.125
Mississippi State,700,2003,700,0.125
St Joseph's,900,2003,900,0.1
Pittsburgh,1000,2003,1000,0.09090909090909091
Wake Forest,1200,2003,1200,0.07692307692307693
Maryland,1200,2003,1200,0.07692307692307693
North Carolina,1500,2003,1500,0.0625
NC State,1800,2003,1800,0.05263157894736842
Kansas,2000,2003,2000,0.047619047619047616
Florida,2500,2003,2500,0.038461538461538464
Texas,2500,2003,2500,0.038461538461538464
Illinois,3000,2003,3000,0.03225806451612903
Wisconsin,3000,2003,3000,0.03225806451612903
Arizona,4000,2003,4000,0.024390243902439025
Cincinnati,4000,2003,4000,0.024390243902439025
Syracuse,4000,2003,4000,0.024390243902439025
Providence,4000,2003,4000,0.024390243902439025
Michigan State,5000,2003,5000,0.0196078431372549
Louisville,5000,2003,5000,0.0196078431372549
Texas Tech,5000,2003,5000,0.0196078431372549
Charlotte,5000,2003,5000,0.0196078431372549
Xavier,5000,2003,5000,0.0196078431372549
BYU,5000,2003,5000,0.0196078431372549
Nevada,5000,2003,5000,0.0196078431372549
DePaul,5000,2003,5000,0.0196078431372549
Vanderbilt,5000,2003,5000,0.0196078431372549
Western Michigan,5000,2003,5000,0.0196078431372549
Memphis,7500,2003,7500,0.013157894736842105
Seton Hall,7500,2003,7500,0.013157894736842105
Alabama,7500,2003,7500,0.013157894736842105
South Carolina,7500,2003,7500,0.013157894736842105
Utah,7500,2003,7500,0.013157894736842105
Boston College,7500,2003,7500,0.013157894736842105
Dayton,7500,2003,7500,0.013157894736842105
Illinois-Chicago,10000,2003,10000,0.009900990099009901
Richmond,10000,2003,10000,0.009900990099009901
Southern Illinois,10000,2003,10000,0.009900990099009901
UAB,10000,2003,10000,0.009900990099009901
Washington,10000,2003,10000,0.009900990099009901
Manhattan,25000,2003,25000,0.00398406374501992
Pacific,25000,2003,25000,0.00398406374501992
UTEP,25000,2003,25000,0.00398406374501992
Central Florida,50000,2003,50000,0.001996007984031936
East Tennessee State,50000,2003,50000,0.001996007984031936
Louisiana Lafayette,50000,2003,50000,0.001996007984031936
Murray State,50000,2003,50000,0.001996007984031936
Northern Iowa,50000,2003,50000,0.001996007984031936
Princeton,50000,2003,50000,0.001996007984031936
Air Force,75000,2003,75000,0.0013315579227696406
VCU,75000,2003,75000,0.0013315579227696406
Alabama State,100000,2003,100000,0.000999000999000999
Florida A&M,100000,2003,100000,0.000999000999000999
Lehigh,100000,2003,100000,0.000999000999000999
Liberty,100000,2003,100000,0.000999000999000999
Monmouth,100000,2003,100000,0.000999000999000999
Texas San Antonio,100000,2003,100000,0.000999000999000999
Vermont,100000,2003,100000,0.000999000999000999
Eastern Washington,500000,2003,500000,0.0001999600079984003
Valparaiso,500000,2003,500000,0.0001999600079984003
Oklahoma,0,2003,0,1.0
Missouri,0,2003,0,1.0
Notre Dame,0,2003,0,1.0
Ohio State,0,2003,0,1.0
Florida State,0,2003,0,1.0
Indiana,0,2003,0,1.0
UCLA,0,2003,0,1.0
Iowa,0,2003,0,1.0
Oregon,0,2003,0,1.0
Tennessee,0,2003,0,1.0
California,0,2003,0,1.0
Temple,0,2003,0,1.0
USC,0,2003,0,1.0
Marquette,0,2003,0,1.0
Iowa State,0,2003,0,1.0
Tulsa,0,2003,0,1.0
Arizona State,0,2003,0,1.0
Purdue,0,2003,0,1.0
Arkansas,0,2003,0,1.0
Creighton,0,2003,0,1.0
Butler,0,2003,0,1.0
Hawaii,0,2003,0,1.0
UNLV,0,2003,0,1.0
North Carolina,350,2004,350,0.2222222222222222
Illinois,400,2004,400,0.2
Louisville,2500,2004,2500,0.038461538461538464
Michigan State,600,2004,600,0.14285714285714285
Duke,400,2004,400,0.2
Wake Forest,450,2004,450,0.18181818181818182
Connecticut,700,2004,700,0.125
Washington,700,2004,700,0.125
Oklahoma State,800,2004,800,0.1111111111111111
Arizona,1000,2004,1000,0.09090909090909091
Oklahoma,1000,2004,1000,0.09090909090909091
Kansas,1200,2004,1200,0.07692307692307693
Georgia Tech,1200,2004,1200,0.07692307692307693
Kentucky,1500,2004,1500,0.0625
Florida,1800,2004,1800,0.05263157894736842
Syracuse,2000,2004,2000,0.047619047619047616
NC State,2000,2004,2000,0.047619047619047616
Wisconsin,2000,2004,2000,0.047619047619047616
George Washington,2500,2004,2500,0.038461538461538464
Alabama,3500,2004,3500,0.027777777777777776
Boston College,3500,2004,3500,0.027777777777777776
Gonzaga,3500,2004,3500,0.027777777777777776
Pittsburgh,3500,2004,3500,0.027777777777777776
Cincinnati,5000,2004,5000,0.0196078431372549
Iowa,5000,2004,5000,0.0196078431372549
Villanova,5000,2004,5000,0.0196078431372549
Texas Tech,6000,2004,6000,0.01639344262295082
Minnesota,6000,2004,6000,0.01639344262295082
Mississippi State,6000,2004,6000,0.01639344262295082
New Mexico,6000,2004,6000,0.01639344262295082
Stanford,6000,2004,6000,0.01639344262295082
Utah,6000,2004,6000,0.01639344262295082
Iowa State,7500,2004,7500,0.013157894736842105
Texas,7500,2004,7500,0.013157894736842105
Utah State,7500,2004,7500,0.013157894736842105
UTEP,7500,2004,7500,0.013157894736842105
West Virginia,7500,2004,7500,0.013157894736842105
Charlotte,10000,2004,10000,0.009900990099009901
LSU,10000,2004,10000,0.009900990099009901
Nevada,10000,2004,10000,0.009900990099009901
Pacific,10000,2004,10000,0.009900990099009901
Southern Illinois,10000,2004,10000,0.009900990099009901
St Mary's (CA),10000,2004,10000,0.009900990099009901
UCLA,10000,2004,10000,0.009900990099009901
Creighton,25000,2004,25000,0.00398406374501992
Louisiana Lafayette,25000,2004,25000,0.00398406374501992
Northern Iowa,25000,2004,25000,0.00398406374501992
UAB,25000,2004,25000,0.00398406374501992
Milwaukee,50000,2004,50000,0.001996007984031936
Ohio,50000,2004,50000,0.001996007984031936
Old Dominion,50000,2004,50000,0.001996007984031936
Pennsylvania,50000,2004,50000,0.001996007984031936
Alabama A&M,100000,2004,100000,0.000999000999000999
Bucknell,100000,2004,100000,0.000999000999000999
Delaware State,100000,2004,100000,0.000999000999000999
Fairleigh Dickinson,100000,2004,100000,0.000999000999000999
Montana,100000,2004,100000,0.000999000999000999
Niagara,100000,2004,100000,0.000999000999000999
Oakland,100000,2004,100000,0.000999000999000999
Southeast Louisiana,100000,2004,100000,0.000999000999000999
Vermont,100000,2004,100000,0.000999000999000999
Central Florida,500000,2004,500000,0.0001999600079984003
Chattanooga,500000,2004,500000,0.0001999600079984003
Eastern Kentucky,500000,2004,500000,0.0001999600079984003
Wintrop,500000,2004,500000,0.0001999600079984003
Notre Dame,0,2004,0,1.0
Michigan,0,2004,0,1.0
Ohio State,0,2004,0,1.0
Florida,2000,2005,2000,0.047619047619047616
LSU,3500,2005,3500,0.027777777777777776
UCLA,1500,2005,1500,0.0625
George Mason,15000,2005,15000,0.006622516556291391
Duke,400,2005,400,0.2
Connecticut,450,2005,450,0.18181818181818182
Villanova,600,2005,600,0.14285714285714285
North Carolina,800,2005,800,0.1111111111111111
Texas,1000,2005,1000,0.09090909090909091
Memphis,1200,2005,1200,0.07692307692307693
Kansas,1500,2005,1500,0.0625
Ohio State,1500,2005,1500,0.0625
Boston College,1800,2005,1800,0.05263157894736842
Gonzaga,2000,2005,2000,0.047619047619047616
Illinois,2000,2005,2000,0.047619047619047616
Pittsburgh,2000,2005,2000,0.047619047619047616
Iowa,2500,2005,2500,0.038461538461538464
Tennessee,2500,2005,2500,0.038461538461538464
Michigan State,3500,2005,3500,0.027777777777777776
Washington,3500,2005,3500,0.027777777777777776
Arkansas,5000,2005,5000,0.0196078431372549
George Washington,5000,2005,5000,0.0196078431372549
Georgetown,5000,2005,5000,0.0196078431372549
Nevada,5000,2005,5000,0.0196078431372549
Oklahoma,5000,2005,5000,0.0196078431372549
Syracuse,5000,2005,5000,0.0196078431372549
Arizona,7500,2005,7500,0.013157894736842105
California,7500,2005,7500,0.013157894736842105
Kentucky,7500,2005,7500,0.013157894736842105
Marquette,7500,2005,7500,0.013157894736842105
NC State,7500,2005,7500,0.013157894736842105
Northern Iowa,7500,2005,7500,0.013157894736842105
West Virginia,7500,2005,7500,0.013157894736842105
Wisconsin,7500,2005,7500,0.013157894736842105
Alabama,10000,2005,10000,0.009900990099009901
Indiana,10000,2005,10000,0.009900990099009901
NC Wilmington,10000,2005,10000,0.009900990099009901
UAB,10000,2005,10000,0.009900990099009901
Milwaukee,15000,2005,15000,0.006622516556291391
San Diego State,15000,2005,15000,0.006622516556291391
Seton Hall,15000,2005,15000,0.006622516556291391
Southern Illinois,15000,2005,15000,0.006622516556291391
Texas A&M,15000,2005,15000,0.006622516556291391
Wichita State,15000,2005,15000,0.006622516556291391
Bucknell,25000,2005,25000,0.00398406374501992
Kent State,25000,2005,25000,0.00398406374501992
Utah State,25000,2005,25000,0.00398406374501992
Air Force,50000,2005,50000,0.001996007984031936
Bradley,50000,2005,50000,0.001996007984031936
Iona,50000,2005,50000,0.001996007984031936
Murray State,50000,2005,50000,0.001996007984031936
South Alabama,50000,2005,50000,0.001996007984031936
Xavier,50000,2005,50000,0.001996007984031936
Albany,100000,2005,100000,0.000999000999000999
Belmont,100000,2005,100000,0.000999000999000999
Hampton,100000,2005,100000,0.000999000999000999
Monmouth,100000,2005,100000,0.000999000999000999
Northwestern State,100000,2005,100000,0.000999000999000999
Oral Roberts,100000,2005,100000,0.000999000999000999
Pacific,100000,2005,100000,0.000999000999000999
Pennsylvania,100000,2005,100000,0.000999000999000999
Southern,100000,2005,100000,0.000999000999000999
Davidson,500000,2005,500000,0.0001999600079984003
Montana,500000,2005,500000,0.0001999600079984003
Wintrop,500000,2005,500000,0.0001999600079984003
Florida,400,2006,400,0.2
Ohio State,700,2006,700,0.125
UCLA,800,2006,800,0.1111111111111111
Georgetown,800,2006,800,0.1111111111111111
North Carolina,500,2006,500,0.16666666666666666
Kansas,600,2006,600,0.14285714285714285
Memphis,1200,2006,1200,0.07692307692307693
Texas A&M,1200,2006,1200,0.07692307692307693
Wisconsin,1200,2006,1200,0.07692307692307693
Texas,1500,2006,1500,0.0625
Maryland,2000,2006,2000,0.047619047619047616
Oregon,2000,2006,2000,0.047619047619047616
Pittsburgh,2200,2006,2200,0.043478260869565216
Louisville,2500,2006,2500,0.038461538461538464
Washington State,3000,2006,3000,0.03225806451612903
Duke,3500,2006,3500,0.027777777777777776
Notre Dame,4000,2006,4000,0.024390243902439025
Tennessee,5000,2006,5000,0.0196078431372549
Southern Illinois,6000,2006,6000,0.01639344262295082
USC,6000,2006,6000,0.01639344262295082
Kentucky,7000,2006,7000,0.014084507042253521
Virginia Tech,7000,2006,7000,0.014084507042253521
Georgia Tech,7500,2006,7500,0.013157894736842105
Arizona,8000,2006,8000,0.012345679012345678
Michigan State,8000,2006,8000,0.012345679012345678
Vanderbilt,8000,2006,8000,0.012345679012345678
Villanova,8000,2006,8000,0.012345679012345678
Virginia,8000,2006,8000,0.012345679012345678
Indiana,10000,2006,10000,0.009900990099009901
Nevada,10000,2006,10000,0.009900990099009901
UNLV,10000,2006,10000,0.009900990099009901
Arkansas,12500,2006,12500,0.007936507936507936
Boston College,12500,2006,12500,0.007936507936507936
Butler,12500,2006,12500,0.007936507936507936
Marquette,12500,2006,12500,0.007936507936507936
Xavier,12500,2006,12500,0.007936507936507936
BYU,15000,2006,15000,0.006622516556291391
Creighton,15000,2006,15000,0.006622516556291391
Gonzaga,20000,2006,20000,0.004975124378109453
Stanford,20000,2006,20000,0.004975124378109453
Purdue,25000,2006,25000,0.00398406374501992
Illinois,30000,2006,30000,0.0033222591362126247
Old Dominion,30000,2006,30000,0.0033222591362126247
Texas Tech,30000,2006,30000,0.0033222591362126247
George Washington,40000,2006,40000,0.0024937655860349127
VCU,40000,2006,40000,0.0024937655860349127
Winthrop,40000,2006,40000,0.0024937655860349127
Davidson,50000,2006,50000,0.001996007984031936
Long Beach State,50000,2006,50000,0.001996007984031936
New Mexico State,50000,2006,50000,0.001996007984031936
Holy Cross,60000,2006,60000,0.0016638935108153079
"Miami, Ohio",60000,2006,60000,0.0016638935108153079
Oral Roberts,60000,2006,60000,0.0016638935108153079
Pennsylvania,80000,2006,80000,0.0012484394506866417
Wright State,80000,2006,80000,0.0012484394506866417
Albany,100000,2006,100000,0.000999000999000999
North Texas,100000,2006,100000,0.000999000999000999
Weber State,100000,2006,100000,0.000999000999000999
Belmont,200000,2006,200000,0.0004997501249375312
Niagara,200000,2006,200000,0.0004997501249375312
Texas A&M-CC,300000,2006,300000,0.0003332222592469177
Central Connecticut,500000,2006,500000,0.0001999600079984003
Eastern Kentucky,500000,2006,500000,0.0001999600079984003
Florida A&M,500000,2006,500000,0.0001999600079984003
Jackson State,500000,2006,500000,0.0001999600079984003
LSU,0,2006,0,1.0
Kansas,700,2007,700,0.125
North Carolina,400,2007,400,0.2
UCLA,350,2007,350,0.2222222222222222
Memphis,800,2007,800,0.1111111111111111
Georgetown,1000,2007,1000,0.09090909090909091
Tennessee,1200,2007,1200,0.07692307692307693
Duke,1500,2007,1500,0.0625
Stanford,1500,2007,1500,0.0625
Texas,1500,2007,1500,0.0625
Louisville,2000,2007,2000,0.047619047619047616
Wisconsin,2000,2007,2000,0.047619047619047616
Clemson,3000,2007,3000,0.03225806451612903
Pittsburgh,4000,2007,4000,0.024390243902439025
USC,4000,2007,4000,0.024390243902439025
Vanderbilt,4000,2007,4000,0.024390243902439025
Washington State,4000,2007,4000,0.024390243902439025
Xavier,4000,2007,4000,0.024390243902439025
Connecticut,5000,2007,5000,0.0196078431372549
Notre Dame,5000,2007,5000,0.0196078431372549
Marquette,6500,2007,6500,0.015151515151515152
Michigan State,6500,2007,6500,0.015151515151515152
Purdue,6500,2007,6500,0.015151515151515152
Arizona,10000,2007,10000,0.009900990099009901
Arkansas,10000,2007,10000,0.009900990099009901
Butler,10000,2007,10000,0.009900990099009901
BYU,10000,2007,10000,0.009900990099009901
Davidson,10000,2007,10000,0.009900990099009901
Drake,10000,2007,10000,0.009900990099009901
Gonzaga,10000,2007,10000,0.009900990099009901
Indiana,10000,2007,10000,0.009900990099009901
Kansas State,10000,2007,10000,0.009900990099009901
Kent State,10000,2007,10000,0.009900990099009901
Miami (FL),10000,2007,10000,0.009900990099009901
Mississippi State,10000,2007,10000,0.009900990099009901
Oklahoma,10000,2007,10000,0.009900990099009901
Oregon,10000,2007,10000,0.009900990099009901
St Mary's (CA),10000,2007,10000,0.009900990099009901
UNLV,10000,2007,10000,0.009900990099009901
West Virginia,10000,2007,10000,0.009900990099009901
Baylor,25000,2007,25000,0.00398406374501992
Kentucky,25000,2007,25000,0.00398406374501992
South Alabama,25000,2007,25000,0.00398406374501992
St Joseph's,25000,2007,25000,0.00398406374501992
Texas A&M,25000,2007,25000,0.00398406374501992
George Mason,50000,2007,50000,0.001996007984031936
Temple,50000,2007,50000,0.001996007984031936
Villanova,50000,2007,50000,0.001996007984031936
Western Kentucky,50000,2007,50000,0.001996007984031936
American,100000,2007,100000,0.000999000999000999
Austin Peay,100000,2007,100000,0.000999000999000999
Belmont,100000,2007,100000,0.000999000999000999
Coppin State,100000,2007,100000,0.000999000999000999
Georgia,100000,2007,100000,0.000999000999000999
Mississippi Valley State,100000,2007,100000,0.000999000999000999
Mount St Mary's,100000,2007,100000,0.000999000999000999
Portland State,100000,2007,100000,0.000999000999000999
San Diego,100000,2007,100000,0.000999000999000999
UMBC,100000,2007,100000,0.000999000999000999
UT-Arlington,100000,2007,100000,0.000999000999000999
Boise State,500000,2007,500000,0.0001999600079984003
Cornell,500000,2007,500000,0.0001999600079984003
CS Fullerton,500000,2007,500000,0.0001999600079984003
Oral Roberts,500000,2007,500000,0.0001999600079984003
Siena,500000,2007,500000,0.0001999600079984003
Winthrop,500000,2007,500000,0.0001999600079984003
North Carolina,400,2008,400,0.2
Connecticut,700,2008,700,0.125
Michigan State,1500,2008,1500,0.0625
Villanova,3000,2008,3000,0.03225806451612903
Louisville,450,2008,450,0.18181818181818182
Pittsburgh,500,2008,500,0.16666666666666666
Memphis,900,2008,900,0.1
Duke,1000,2008,1000,0.09090909090909091
Oklahoma,1800,2008,1800,0.05263157894736842
Syracuse,2000,2008,2000,0.047619047619047616
Gonzaga,2500,2008,2500,0.038461538461538464
Purdue,4000,2008,4000,0.024390243902439025
Missouri,4000,2008,4000,0.024390243902439025
Kansas,5000,2008,5000,0.0196078431372549
Xavier,10000,2008,10000,0.009900990099009901
Arizona,15000,2008,15000,0.006622516556291391
Wake Forest,2200,2008,2200,0.043478260869565216
UCLA,3000,2008,3000,0.03225806451612903
West Virginia,5000,2008,5000,0.0196078431372549
Arizona State,5000,2008,5000,0.0196078431372549
Washington,5000,2008,5000,0.0196078431372549
Florida State,6500,2008,6500,0.015151515151515152
Clemson,8000,2008,8000,0.012345679012345678
LSU,8000,2008,8000,0.012345679012345678
Texas,10000,2008,10000,0.009900990099009901
Tennessee,10000,2008,10000,0.009900990099009901
USC,10000,2008,10000,0.009900990099009901
Marquette,10000,2008,10000,0.009900990099009901
Boston College,10000,2008,10000,0.009900990099009901
California,10000,2008,10000,0.009900990099009901
Oklahoma State,10000,2008,10000,0.009900990099009901
Utah,10000,2008,10000,0.009900990099009901
Wisconsin,15000,2008,15000,0.006622516556291391
BYU,15000,2008,15000,0.006622516556291391
Illinois,15000,2008,15000,0.006622516556291391
Ohio State,20000,2008,20000,0.004975124378109453
Texas A&M,20000,2008,20000,0.004975124378109453
Maryland,25000,2008,25000,0.00398406374501992
Butler,25000,2008,25000,0.00398406374501992
Temple,25000,2008,25000,0.00398406374501992
